STATE,zipcode,N1,MARS1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAL,RAC,ELDERLY,A00100,N02650,A02650,A00200,N00200,N00300,A00300,SCHF,N02300,A02300,N02500,A02500,N06500,A06500,N10300,A10300,N19700,A19700
GA,31007,320,110,90,120,170,690,300,0,0,0,0,0,100,70,11631,320,11704,8265,280,40,17,20,0,0,30,370,160,736,180,838,60,271
GA,31008,8730,3450,3480,1570,3750,17710,5920,240,40,200,0,60,2020,1920,445349,8730,449277,333128,7310,2190,1539,100,230,673,1250,14501,5950,40349,6610,42733,2710,13419
GA,31009,460,160,200,70,310,940,330,0,0,0,0,0,110,120,19873,460,19961,14907,380,100,51,40,20,39,70,837,290,1576,340,1739,100,675
GA,31011,330,120,120,80,210,680,260,0,0,0,0,0,100,80,12786,330,12865,9657,270,60,25,30,20,46,50,579,190,884,230,977,70,442
GA,31012,450,170,190,90,320,990,360,0,0,0,0,0,140,120,19218,450,19318,14344,380,110,75,40,0,0,60,761,270,1449,320,1603,100,575
GA,31014,4780,1710,1870,1130,3000,10100,3700,20,0,20,0,120,1350,1180,221343,4780,223257,157320,3890,1320,1210,260,160,409,720,7783,2870,18923,3350,20630,1140,6707
GA,31015,7410,2900,2030,2370,4630,15400,6300,0,0,0,0,380,2590,1600,287909,7410,291938,206919,6300,1280,1548,180,200,472,900,12235,3600,23756,4370,26402,1430,8963
GA,31016,650,270,250,140,360,1290,430,0,0,0,0,0,160,180,28843,650,29125,21619,570,140,84,40,30,49,120,1008,420,2427,470,2630,190,934
GA,31017,800,290,330,170,460,1620,550,0,0,0,0,0,210,210,38330,800,38592,28649,630,210,163,70,30,80,130,1496,510,3440,580,3750,200,1036
GA,31018,490,200,160,130,310,1010,400,0,0,0,0,0,180,100,18213,490,18342,14584,410,90,20,40,0,0,50,663,250,1324,300,1443,110,635
GA,31019,900,310,410,160,610,1960,700,0,0,0,0,0,220,220,44632,900,45066,32711,780,230,143,100,30,66,140,1612,590,3650,650,3984,220,1185
GA,31020,880,350,240,260,440,1740,640,0,0,0,0,0,290,210,31830,880,32044,24697,740,120,29,0,40,93,120,1181,480,2195,560,2424,190,998
GA,31021,10930,4220,3470,2990,6890,22660,8770,0,0,0,0,340,3120,2430,530751,10930,537525,368441,9130,2460,3350,320,340,805,1500,20119,6050,53193,7260,57927,2790,22602
GA,31022,660,250,290,110,420,1370,460,0,0,0,0,0,130,170,33742,660,33984,25875,540,190,138,50,20,56,110,1439,470,2853,510,3040,210,1217
GA,31023,5400,2070,1760,1480,3610,11270,4400,30,0,30,0,210,1820,1230,203766,5400,206005,150219,4410,1180,1013,310,260,544,690,8266,2830,14752,3490,16451,1170,7854
GA,31024,8570,3230,3280,1910,4280,17140,5700,100,30,70,0,20,1930,2710,501569,8570,508874,296984,6710,2620,3583,150,300,730,1800,27264,5050,61854,5880,68221,2280,17282
GA,31025,620,240,280,90,300,1280,420,0,0,0,0,0,130,140,33299,620,33676,25514,540,150,63,50,20,48,70,912,440,2957,470,3208,190,1258
GA,31027,3880,1480,1170,1180,2370,8320,3440,0,0,0,0,130,1360,670,127058,3880,128292,99650,3310,500,306,120,150,324,360,3759,1870,7731,2400,8884,660,3972
GA,31028,2880,1180,1090,550,1260,5700,1850,150,30,120,0,30,580,750,164232,2880,166025,109673,2300,890,1132,0,60,174,490,6381,1980,17667,2170,18731,890,4974
GA,31029,6690,2550,2550,1430,3350,13870,5060,0,0,0,0,100,1600,1540,358918,6690,363745,257632,5700,1450,1445,150,210,651,950,12912,4170,36246,4700,39016,1880,12094
GA,31030,6730,2920,1820,1830,3670,13520,5250,160,0,160,0,240,2150,1560,266229,6730,269630,182513,5530,1160,1463,150,380,634,870,10474,3500,21918,4310,24117,1530,10159
GA,31031,2420,930,780,660,1410,4970,1880,0,0,0,0,0,870,620,97819,2420,98695,71123,1950,460,273,50,70,155,400,5031,1420,7363,1670,8005,480,2698
GA,31032,5980,2230,2630,980,2970,12620,4420,20,0,20,0,40,1170,1460,339875,5980,342937,248873,4990,1640,1878,120,130,367,1010,14466,4140,33096,4540,35182,1950,9750
GA,31033,920,320,350,230,500,1930,710,0,0,0,0,0,220,210,40186,920,40578,30815,780,190,66,30,30,90,130,1529,530,3042,630,3347,230,1024
GA,31035,490,190,200,110,330,1020,370,0,0,0,0,0,160,120,19320,490,19402,14792,420,100,17,40,0,0,70,804,290,1421,320,1535,110,574
GA,31036,3940,1460,1400,1020,2460,8120,2990,0,0,0,0,40,1170,1000,191081,3940,193598,128823,3240,980,1135,240,130,326,600,6755,2260,19133,2660,20767,1070,7096
GA,31037,1020,360,310,340,580,2420,1120,0,0,0,0,30,320,200,33978,1020,34189,25884,870,140,40,30,110,228,110,1020,480,2041,670,2347,130,719
GA,31038,300,110,130,50,170,610,190,0,0,0,0,0,70,90,14442,300,14526,10261,250,90,33,20,0,0,50,623,200,1124,220,1211,90,346
GA,31041,220,70,80,70,140,500,210,0,0,0,0,0,70,60,9114,220,9202,6359,170,40,18,0,0,0,40,435,130,625,150,741,40,171
GA,31042,790,340,180,260,580,1540,600,0,0,0,0,0,310,180,30036,790,30326,22237,670,120,56,0,20,67,110,1146,400,2100,490,2302,250,1260
GA,31044,1200,460,300,430,630,2390,930,0,0,0,0,0,470,280,47198,1200,47426,32574,1000,180,118,40,60,120,180,1922,660,3651,780,3928,300,1519
GA,31046,1450,570,660,170,730,2880,880,0,0,0,0,0,260,400,96274,1450,97269,66259,1180,440,298,20,40,110,250,3798,1070,11730,1160,12309,480,2687
GA,31047,6120,2170,2980,840,2480,13850,5240,220,60,150,0,30,1060,1120,438280,6120,443311,332085,5330,2040,1257,80,140,383,700,9183,4510,49315,4850,51739,2530,14549
GA,31049,620,210,300,90,460,1330,440,0,0,0,0,0,130,160,25577,620,25792,20379,510,140,68,90,20,51,80,883,380,1743,450,1964,120,630
GA,31050,290,120,140,50,150,620,210,0,0,0,0,0,70,60,10999,290,11086,8371,260,50,15,0,0,0,40,381,180,714,210,828,60,273
GA,31052,4050,1530,1810,630,2010,8130,2550,40,0,40,0,20,740,1160,225740,4050,228316,156288,3290,1130,783,70,90,228,790,10494,2750,22552,3040,23980,1380,9806
GA,31054,670,230,230,210,490,1520,630,0,0,0,0,0,260,160,26471,670,26663,19503,550,140,44,0,20,44,100,1253,340,1730,420,1910,160,1081
GA,31055,1750,640,530,550,1140,3650,1470,0,0,0,0,60,540,400,70854,1750,71535,48704,1490,360,367,120,140,221,230,3250,930,5962,1140,6573,340,2215
GA,31057,680,250,170,240,320,1380,550,0,0,0,0,0,220,170,26735,680,27003,18799,580,120,153,40,20,50,90,1150,350,2435,400,2621,130,757
GA,31058,600,190,240,130,340,1300,500,30,30,0,0,0,150,140,20808,600,21009,17148,490,60,13,60,20,71,70,712,310,1337,390,1517,80,373
