"","STATE","zipcode","N1","NUMDEP","A00100","SCHF","A06500","A10300","A19700"
"364","GA",30813,16590,14680,923236,40,80446,85153,23411
"365","GA",30814,3650,2630,172555,60,14585,15750,4061
"366","GA",30815,17120,13340,691230,80,50641,54137,24939
"367","GA",30816,740,580,30595,40,2341,2515,891
"368","GA",30817,3080,2150,143761,100,13180,14230,4471
"369","GA",30818,240,220,10189,0,748,842,313
"370","GA",30820,450,340,19167,40,1432,1579,338
"371","GA",30821,380,280,13278,0,865,924,301
"372","GA",30823,640,490,26699,60,2068,2359,843
"373","GA",30824,7210,5830,310249,140,27113,29348,9740
"374","GA",30828,1620,1300,56371,70,3974,4330,1420
"375","GA",30830,5780,5250,266791,180,23565,25362,8024
"376","GA",30833,1660,1400,59926,40,4465,4933,2200
"377","GA",30901,5560,4380,160058,0,13751,15486,5159
"378","GA",30904,10180,6530,479085,30,55999,60491,18619
"379","GA",30905,2120,1780,71509,0,3834,3932,550
"380","GA",30906,24280,19800,769456,40,53279,58464,21471
"381","GA",30907,23280,14640,1567223,60,197656,208828,50619
"382","GA",30909,21060,12490,1189617,70,145897,154029,43030
"383","GA",31001,900,720,31908,100,1940,2230,936
"384","GA",31002,1030,800,40926,80,3115,3474,965
"385","GA",31005,7990,6600,518742,70,53313,55558,16076
"386","GA",31006,1690,1530,64021,90,4356,4876,2094
"387","GA",31007,320,300,11631,20,736,838,271
"388","GA",31008,8730,5920,445349,100,40349,42733,13419
"389","GA",31009,460,330,19873,40,1576,1739,675
"390","GA",31011,330,260,12786,30,884,977,442
"391","GA",31012,450,360,19218,40,1449,1603,575
"392","GA",31014,4780,3700,221343,260,18923,20630,6707
"393","GA",31015,7410,6300,287909,180,23756,26402,8963
"394","GA",31016,650,430,28843,40,2427,2630,934
"395","GA",31017,800,550,38330,70,3440,3750,1036
"396","GA",31018,490,400,18213,40,1324,1443,635
"397","GA",31019,900,700,44632,100,3650,3984,1185
"398","GA",31020,880,640,31830,0,2195,2424,998
"399","GA",31021,10930,8770,530751,320,53193,57927,22602
"400","GA",31022,660,460,33742,50,2853,3040,1217
"401","GA",31023,5400,4400,203766,310,14752,16451,7854
"402","GA",31024,8570,5700,501569,150,61854,68221,17282
"403","GA",31025,620,420,33299,50,2957,3208,1258
"404","GA",31027,3880,3440,127058,120,7731,8884,3972
"405","GA",31028,2880,1850,164232,0,17667,18731,4974
"406","GA",31029,6690,5060,358918,150,36246,39016,12094
"407","GA",31030,6730,5250,266229,150,21918,24117,10159
"408","GA",31031,2420,1880,97819,50,7363,8005,2698
"409","GA",31032,5980,4420,339875,120,33096,35182,9750
"410","GA",31033,920,710,40186,30,3042,3347,1024
"411","GA",31035,490,370,19320,40,1421,1535,574
"412","GA",31036,3940,2990,191081,240,19133,20767,7096
"413","GA",31037,1020,1120,33978,30,2041,2347,719
"414","GA",31038,300,190,14442,20,1124,1211,346
"415","GA",31041,220,210,9114,0,625,741,171
"416","GA",31042,790,600,30036,0,2100,2302,1260
"417","GA",31044,1200,930,47198,40,3651,3928,1519
"418","GA",31046,1450,880,96274,20,11730,12309,2687
"419","GA",31047,6120,5240,438280,80,49315,51739,14549
"420","GA",31049,620,440,25577,90,1743,1964,630
"421","GA",31050,290,210,10999,0,714,828,273
"422","GA",31052,4050,2550,225740,70,22552,23980,9806
"423","GA",31054,670,630,26471,0,1730,1910,1081
"424","GA",31055,1750,1470,70854,120,5962,6573,2215
"425","GA",31057,680,550,26735,40,2435,2621,757
"426","GA",31058,600,500,20808,60,1337,1517,373
"427","GA",31060,550,420,21139,90,1383,1582,672
"428","GA",31061,14920,10460,669083,180,63052,68304,19581
"429","GA",31063,2110,2050,74460,130,5438,6106,2156
"430","GA",31064,3820,2880,183411,140,17697,19173,4653
"431","GA",31065,500,390,19830,30,1321,1446,658
"432","GA",31066,470,280,23627,30,1999,2119,617
"433","GA",31068,1240,1030,40127,50,2522,2842,1150
"434","GA",31069,8790,6470,461975,140,45827,49064,16811
"435","GA",31070,280,190,12609,40,1062,1223,258
"436","GA",31071,450,330,17520,60,1236,1491,605
"437","GA",31072,480,350,19663,50,1298,1542,588
"438","GA",31075,1020,850,42490,40,2919,3249,1268
"439","GA",31076,1190,870,49060,80,3517,3848,1569
"440","GA",31077,400,310,15772,70,1018,1163,516
"441","GA",31078,1380,1120,50047,30,3230,3527,1361
"442","GA",31079,1040,910,38808,130,2670,3102,992
"443","GA",31082,4370,3490,205888,170,20300,22051,9369
"444","GA",31085,390,410,16041,0,1139,1267,285
"445","GA",31087,3100,2460,110009,70,8840,9456,3361
"446","GA",31088,24540,18530,1348616,70,134783,141553,42554
"447","GA",31089,1880,1630,68771,110,4998,5532,2012
"448","GA",31090,370,280,14179,0,961,1046,454
"449","GA",31091,1060,960,37986,60,2346,2702,1124
"450","GA",31092,2140,1910,86543,130,7217,8139,2972
"451","GA",31093,11960,9500,444582,30,34641,37395,13477
"452","GA",31094,450,330,18995,30,1452,1584,636
"453","GA",31096,2160,1900,83735,220,5500,6054,2515
"454","GA",31097,530,330,23775,30,1912,2048,444
"455","GA",31098,1230,1060,49522,0,3339,3435,600
"456","GA",31201,2760,2000,114425,0,12476,14122,4156
"457","GA",31204,12280,10080,465445,30,42246,47177,15385
"458","GA",31206,10140,10570,239930,0,10060,12900,6762
"459","GA",31210,15300,9860,1284439,120,191233,205688,61212
"460","GA",31211,6690,5000,291757,30,25402,27788,12460
"461","GA",31216,6870,4620,370552,40,35007,37403,13756
"462","GA",31217,6960,5840,214621,40,12856,14153,6769
"463","GA",31220,6400,4380,427087,50,52516,56158,16495
"464","GA",31301,1500,1320,54367,0,3574,3889,1372
"465","GA",31302,3310,2310,161954,30,14746,15793,3573
"466","GA",31303,930,650,45880,30,3914,4182,1278
"467","GA",31305,2210,1410,88708,0,7374,8086,2203
"468","GA",31308,3140,2540,141304,40,10797,11674,2306
"469","GA",31309,380,280,17118,0,1255,1336,387
"470","GA",31312,8160,6710,480297,90,43866,46266,11164
"471","GA",31313,15870,12790,600401,40,39597,42277,15531
"472","GA",31315,3120,4090,108255,0,3591,3696,441
"473","GA",31316,4030,4010,169415,110,10560,11316,3677
"474","GA",31320,3990,2680,200090,20,18623,19918,5809
"475","GA",31321,2730,2040,122816,80,10080,10928,2828
"476","GA",31322,11700,8080,756480,30,84683,88882,20485
"477","GA",31323,760,530,27266,0,1905,2095,924
"478","GA",31324,11610,10470,847601,50,96757,101721,20054
"479","GA",31326,9310,7260,554180,50,56068,58794,14314
"480","GA",31328,1680,460,138664,0,19116,20446,5066
"481","GA",31329,3550,2750,178012,80,15664,16736,4397
"482","GA",31331,2200,1300,108302,30,10421,11090,3511
"483","GA",31401,7820,3400,485999,0,62746,88275,12095
"484","GA",31404,13340,9460,457801,0,39434,42889,10994
"485","GA",31405,15040,10550,956762,30,103820,110776,27517
"486","GA",31406,15460,9790,1081399,50,155503,164110,40118
"487","GA",31407,6900,4960,346840,0,30790,32348,7086
"488","GA",31408,4200,4050,132190,0,8663,9662,2774
"489","GA",31410,11270,6120,973065,50,137985,146929,32115
"490","GA",31411,4230,1320,816406,30,143011,152037,41298
"491","GA",31415,4960,4300,119425,0,6746,7568,3200
"492","GA",31419,24290,15280,1138555,40,104573,111631,30434
"493","GA",31501,5510,4350,224126,70,21730,23467,6352
"494","GA",31503,7820,6060,324070,260,23993,26009,7219
"495","GA",31510,3760,3390,160567,350,13697,14953,3885
"496","GA",31512,750,650,32642,110,2843,3269,769
"497","GA",31513,5680,4830,250067,470,21078,23030,7048
"498","GA",31516,5880,4730,285922,290,28541,30253,7523
"499","GA",31518,270,230,11050,50,725,833,323
"500","GA",31519,1370,1110,55204,120,4184,4709,1951
"501","GA",31520,8770,7290,277941,0,22472,24631,6454
"502","GA",31522,8170,3140,885572,60,140477,148759,29825
"503","GA",31523,6140,4330,351426,40,35655,37770,8994
"504","GA",31525,12480,8480,549817,40,47666,50667,13276
"505","GA",31527,400,60,29427,0,3417,3559,657
"506","GA",31532,240,200,10253,40,701,794,199
"507","GA",31533,5950,5420,218546,150,18580,20687,6432
"508","GA",31535,4450,4300,190434,180,16581,18352,6275
"509","GA",31537,2910,2340,121542,60,9523,10243,2630
"510","GA",31539,5140,5120,205402,240,16843,18302,4895
"511","GA",31542,980,770,41685,70,3069,3333,858
"512","GA",31543,1660,1400,63152,30,4234,4694,994
"513","GA",31544,230,190,7961,40,507,603,168
"514","GA",31545,5800,5040,235951,130,18025,19726,7080
"515","GA",31546,2280,1870,112504,60,10244,11143,3048
"516","GA",31548,8890,6980,414016,30,32797,34515,8737
"517","GA",31549,660,580,20937,40,1349,1524,390
"518","GA",31550,330,250,13092,40,858,994,303
"519","GA",31551,340,290,15199,60,1237,1432,360
"520","GA",31552,370,270,19238,40,1971,2068,432
"521","GA",31553,1760,1420,70840,90,5185,5852,1117
"522","GA",31554,1930,1720,72744,180,5123,5732,1199
"523","GA",31555,1100,790,54940,110,4625,4965,1408
"524","GA",31557,1150,920,51346,90,3966,4337,1160
"525","GA",31558,8660,6150,455377,40,40981,42982,9701
"526","GA",31560,980,840,44041,80,3575,3887,1162
"527","GA",31561,210,20,111523,0,24374,26384,9624
"528","GA",31562,580,450,22262,20,1457,1660,207
"529","GA",31563,480,360,23516,70,2038,2252,667
"530","GA",31565,850,450,44883,0,4293,4592,1008
"531","GA",31566,1240,1080,44422,0,2926,3297,620
"532","GA",31567,300,240,12051,30,745,864,157
"533","GA",31568,400,250,20381,0,1729,1791,458
"534","GA",31569,2210,1490,118181,0,10719,11245,2789
"535","GA",31601,11580,10000,354053,110,25832,28790,9650
"536","GA",31602,13580,9020,674209,100,76178,81395,22219
"537","GA",31605,9090,6820,506897,70,55996,59403,17420
"538","GA",31606,1570,1190,65401,40,5038,5592,1796
"539","GA",31620,3930,3260,168822,130,16761,18060,4090
"540","GA",31622,720,590,31042,110,2775,3074,847
"541","GA",31624,470,430,17912,50,1215,1381,375
"542","GA",31625,440,310,16872,40,1232,1422,231
"543","GA",31626,1370,1060,61306,60,5780,6383,1351
"544","GA",31629,330,240,14459,30,1029,1266,315
"545","GA",31630,170,130,5845,0,358,384,0
"546","GA",31631,190,150,7095,0,385,433,0
"547","GA",31632,4900,4050,284586,160,29389,31272,8734
"548","GA",31634,2040,1870,86437,120,7997,8675,2229
"549","GA",31635,2250,1930,83785,70,5683,7121,1450
"550","GA",31636,4000,3080,194604,140,18173,19442,4581
"551","GA",31637,1030,730,40789,90,2896,3175,804
"552","GA",31638,400,330,14957,30,1152,1284,311
"553","GA",31639,3660,2860,159391,210,15436,16814,2828
"554","GA",31641,790,600,34658,30,2701,2934,755
"555","GA",31642,1850,1920,57265,110,3036,3632,938
"556","GA",31643,3320,2760,125987,130,9993,11123,4702
"557","GA",31645,1720,1510,61391,50,3753,4246,790
